seasonal_naive: 80 hidden tasks, 100 samples each
14:11:18 [1/80] task_1 H=188 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:18 [2/80] task_2 H=382 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:19 [3/80] task_3 H=813 paths=100/100 (0.1s, elapsed 0.0m, eta 0m)
14:11:19 [4/80] task_4 H=1407 paths=100/100 (0.1s, elapsed 0.0m, eta 0m)
14:11:19 [5/80] task_5 H=813 paths=100/100 (0.1s, elapsed 0.0m, eta 0m)
14:11:19 [6/80] task_6 H=1425 paths=100/100 (0.1s, elapsed 0.0m, eta 0m)
14:11:19 [7/80] task_7 H=613 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:19 [8/80] task_8 H=1407 paths=100/100 (0.1s, elapsed 0.0m, eta 0m)
14:11:19 [9/80] task_9 H=300 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:19 [10/80] task_10 H=362 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:19 [11/80] task_11 H=245 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:19 [12/80] task_12 H=363 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:19 [13/80] task_13 H=184 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:19 [14/80] task_14 H=651 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:19 [15/80] task_15 H=613 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:19 [16/80] task_16 H=436 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:19 [17/80] task_17 H=1315 paths=100/100 (0.1s, elapsed 0.0m, eta 0m)
14:11:19 [18/80] task_18 H=1239 paths=100/100 (0.1s, elapsed 0.0m, eta 0m)
14:11:19 [19/80] task_19 H=35 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:19 [20/80] task_20 H=59 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:19 [21/80] task_21 H=234 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:19 [22/80] task_22 H=43 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
